Name;Ct
Sample A1 @ C2;19.95
Sample A1 @ C2;19.95
Sample A2 @ C2;19.85
Sample A2 @ C2;19.87
Sample A3 @ C2;19.84
Sample A3 @ C2;19.82
Sample A4 @ C2;19.87
Sample A4 @ C2;19.84
Sample A5 @ C2;19.85
Sample A5 @ C2;19.8
Sample A6 @ C2;19.9
Sample A6 @ C2;19.92
Sample A7 @ C2;19.97
Sample A7 @ C2;19.86
Sample A8 @ C2;20.14
Sample A8 @ C2;20.18
Sample B1 @ C2;20.01
Sample B1 @ C2;20.06
Sample B2 @ C2;20.16
Sample B2 @ C2;20.09
Sample B3 @ C2;20.22
Sample B3 @ C2;20.18
Sample B4 @ C2;20.22
Sample B4 @ C2;20.13